Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
156.128,12,12,4304,358.667,93,1292,448.332,11,156.128,14.193,0.025,63.391,22.268
0.000,1,1,74,74.000,74,74,0.000,0,0.000,0.000,0.000,0.000,0.000
318.189,2,2,132,66.000,66,66,0.000,1,318.189,318.189,318.189,318.189,0.000
2922.464,14,14,2935,209.643,66,1354,325.905,13,2922.464,224.805,0.001,2039.853,537.159
0.000,1,1,116,116.000,116,116,0.000,0,0.000,0.000,0.000,0.000,0.000
4003.732,5,5,390,78.000,78,78,0.000,4,4003.732,1000.933,1000.421,1001.349,0.335
0.000,1,1,90,90.000,90,90,0.000,0,0.000,0.000,0.000,0.000,0.000
788.994,16,16,5950,371.875,66,1354,452.588,15,788.994,52.600,0.000,249.511,67.736
0.000,1,1,62,62.000,62,62,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,91,91.000,91,91,0.000,0,0.000,0.000,0.000,0.000,0.000
781.800,10,10,3352,335.200,66,1354,448.893,9,781.800,86.867,0.016,322.084,129.098
0.000,1,1,97,97.000,97,97,0.000,0,0.000,0.000,0.000,0.000,0.000
5518.400,4,4,280,70.000,70,70,0.000,3,5518.400,1839.467,1314.613,2693.382,609.077
0.000,1,1,87,87.000,87,87,0.000,0,0.000,0.000,0.000,0.000,0.000
4005.828,5,5,390,78.000,78,78,0.000,4,4005.828,1001.457,1001.049,1001.896,0.313
0.000,1,1,95,95.000,95,95,0.000,0,0.000,0.000,0.000,0.000,0.000
10841.892,92,92,86908,944.652,83,1292,518.409,91,10841.892,119.142,0.000,7122.609,762.236
0.000,1,1,79,79.000,79,79,0.000,0,0.000,0.000,0.000,0.000,0.000
915.190,11,11,4830,439.091,86,1354,495.444,10,915.190,91.519,0.011,312.062,139.184
0.000,1,1,157,157.000,157,157,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,62,62.000,62,62,0.000,0,0.000,0.000,0.000,0.000,0.000
0.001,2,2,2588,1294.000,1294,1294,0.000,1,0.001,0.001,0.001,0.001,0.000
619.943,7,7,5234,747.714,86,1294,574.804,6,619.943,103.324,0.001,311.602,145.037
0.000,1,1,66,66.000,66,66,0.000,0,0.000,0.000,0.000,0.000,0.000
2685.833,85,85,25733,302.741,93,1292,352.610,84,2685.833,31.974,0.003,1032.730,113.125
0.000,1,1,94,94.000,94,94,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,124,124.000,124,124,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,221,221.000,221,221,0.000,0,0.000,0.000,0.000,0.000,0.000
610.844,7,7,5233,747.571,86,1294,574.720,6,610.844,101.807,0.001,306.554,143.216
0.000,1,1,80,80.000,80,80,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,105,105.000,105,105,0.000,0,0.000,0.000,0.000,0.000,0.000
4004.407,5,5,390,78.000,78,78,0.000,4,4004.407,1001.102,997.627,1004.315,2.369
0.000,1,1,97,97.000,97,97,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,368,368.000,368,368,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
304.563,2,2,132,66.000,54,78,12.000,1,304.563,304.563,304.563,304.563,0.000
0.000,1,1,186,186.000,186,186,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,79,79.000,79,79,0.000,0,0.000,0.000,0.000,0.000,0.000
136.107,17,17,8805,517.941,85,1292,524.554,16,136.107,8.507,0.000,85.816,20.643
0.000,1,1,145,145.000,145,145,0.000,0,0.000,0.000,0.000,0.000,0.000
931.183,155,155,20495,132.226,93,1292,201.256,154,931.183,6.047,0.003,225.722,19.696
0.000,1,1,99,99.000,99,99,0.000,0,0.000,0.000,0.000,0.000,0.000
685.034,7,7,2022,288.857,86,1287,413.294,6,685.034,114.172,0.000,339.123,157.813
0.000,1,1,113,113.000,113,113,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,157,157.000,157,157,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,106,106.000,106,106,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,129,129.000,129,129,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,87,87.000,87,87,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,62,62.000,62,62,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,88,88.000,88,88,0.000,0,0.000,0.000,0.000,0.000,0.000
618.714,34,34,8006,235.471,92,1292,347.501,33,618.714,18.749,0.002,110.563,32.979
0.000,1,1,138,138.000,138,138,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,224,224.000,224,224,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,102,102.000,102,102,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,357,357.000,357,357,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,154,154.000,154,154,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,71,71.000,71,71,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,122,122.000,122,122,0.000,0,0.000,0.000,0.000,0.000,0.000
139.377,8,8,2530,316.250,86,1354,422.414,7,139.377,19.911,0.018,72.176,30.614
10203.577,3,3,242,80.667,78,86,3.771,2,10203.577,5101.788,5077.750,5125.827,24.038
2672.967,11,11,5401,491.000,66,1354,549.043,10,2672.967,267.297,0.001,2127.844,629.053
0.000,1,1,78,78.000,78,78,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,96,96.000,96,96,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,154,154.000,154,154,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,115,115.000,115,115,0.000,0,0.000,0.000,0.000,0.000,0.000
