Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
6.409,6,6,792,132.0,54,510,169.104,5,6.409,1.282,0.04,6.04,2.38,1
110157.872,19,19,8362,440.105,60,1494,578.03,18,110157.872,6119.882,0.126,109274.795,25018.853,1
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
351.955,4,4,970,242.5,54,796,319.601,3,351.955,117.318,62.371,144.993,38.854,1
0.0,1,1,171,171.0,171,171,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,159,159.0,159,159,0.0,0,0.0,0.0,0.0,0.0,0.0,0
64543.692,3,3,174,58.0,54,66,5.657,2,64543.692,32271.846,0.051,64543.641,32271.795,1
99.262,5,5,878,175.6,54,645,234.741,4,99.262,24.816,0.003,97.791,42.136,1
1123.624,7,7,2427,346.714,60,1514,512.407,6,1123.624,187.271,0.197,978.98,357.865,1
0.0,1,1,157,157.0,157,157,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,91,91.0,91,91,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,92,92.0,92,92,0.0,0,0.0,0.0,0.0,0.0,0.0,1
33.587,53,53,73059,1378.472,54,1514,420.108,52,33.587,0.646,0.001,9.131,2.0,1
8306.422,307,307,49347,160.739,93,1292,229.033,306,8306.422,27.145,0.001,2731.623,161.698,0
69957.211,5,5,2461,492.2,54,1514,581.138,4,69957.211,17489.303,0.003,69946.255,30286.036,1
0.0,1,1,62,62.0,62,62,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,105,105.0,105,105,0.0,0,0.0,0.0,0.0,0.0,0.0,0
2186.935,6,6,2340,390.0,60,1474,525.933,5,2186.935,437.387,0.169,1740.305,659.549,1
4004.133,5,5,390,78.0,78,78,0.0,4,4004.133,1001.033,1000.893,1001.31,0.167,0
0.0,1,1,150,150.0,150,150,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,77,77.0,77,77,0.0,0,0.0,0.0,0.0,0.0,0.0,1
109984.237,15,15,18084,1205.6,54,1514,559.744,14,109984.237,7856.017,0.001,109898.433,28301.477,1
2.587,4,4,228,57.0,54,66,5.196,3,2.587,0.862,0.066,2.005,0.829,1
0.0,1,1,368,368.0,368,368,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,81,81.0,81,81,0.0,0,0.0,0.0,0.0,0.0,0.0,0
743.115,15,15,1055,70.333,60,209,37.09,14,743.115,53.08,0.261,251.45,69.157,1
83702.906,7,7,660,94.286,60,294,81.559,6,83702.906,13950.484,0.261,60871.065,22571.208,1
0.0,1,1,62,62.0,62,62,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,90,90.0,90,90,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,124,124.0,124,124,0.0,0,0.0,0.0,0.0,0.0,0.0,0
60158.617,11,11,2678,243.455,54,572,248.38,10,60158.617,6015.862,0.007,59994.748,17992.981,1
12.666,9,9,2544,282.667,60,1474,458.774,8,12.666,1.583,0.143,5.696,2.198,1
0.0,1,1,88,88.0,88,88,0.0,0,0.0,0.0,0.0,0.0,0.0,0
156.128,12,12,4304,358.667,93,1292,448.332,11,156.128,14.193,0.025,63.391,22.268,0
0.0,1,1,97,97.0,97,97,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,75,75.0,75,75,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,62,62.0,62,62,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,138,138.0,138,138,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,1
267.888,16,16,10114,632.125,93,1292,581.879,15,267.888,17.859,0.001,122.04,39.293,0
0.0,1,1,337,337.0,337,337,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,102,102.0,102,102,0.0,0,0.0,0.0,0.0,0.0,0.0,0
5701.683,53,53,67293,1269.679,54,1514,501.909,52,5701.683,109.648,0.001,4115.69,579.439,1
915.19,11,11,4830,439.091,86,1354,495.444,10,915.19,91.519,0.011,312.062,139.184,0
0.0,1,1,78,78.0,78,78,0.0,0,0.0,0.0,0.0,0.0,0.0,0
4002.375,5,5,390,78.0,78,78,0.0,4,4002.375,1000.594,1000.314,1000.841,0.223,0
945.639,8,8,2100,262.5,86,1287,392.819,7,945.639,135.091,0.0,334.641,156.248,0
150317.716,13,13,7196,553.538,54,1514,612.21,12,150317.716,12526.476,0.002,150252.964,41526.1,1
136.107,17,17,8805,517.941,85,1292,524.554,16,136.107,8.507,0.0,85.816,20.643,0
0.0,1,1,126,126.0,126,126,0.0,0,0.0,0.0,0.0,0.0,0.0,1
125033.851,14,14,8235,588.214,54,1514,658.422,13,125033.851,9617.989,0.001,124935.431,33289.287,1
914.487,11,11,4758,432.545,86,1354,490.52,10,914.487,91.449,0.005,305.763,139.47,0
15.878,5,5,1081,216.2,54,853,318.434,4,15.878,3.97,0.06,11.023,4.183,1
0.0,1,1,76,76.0,76,76,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,86,86.0,86,86,0.0,0,0.0,0.0,0.0,0.0,0.0,1
240.398,30,30,29539,984.633,84,1292,493.591,29,240.398,8.29,0.0,72.493,18.373,0
0.0,1,1,77,77.0,77,77,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,113,113.0,113,113,0.0,0,0.0,0.0,0.0,0.0,0.0,0
45.546,46,46,3443,74.848,60,427,65.414,45,45.546,1.012,0.024,9.996,2.415,1
0.0,1,1,90,90.0,90,90,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,138,138.0,138,138,0.0,0,0.0,0.0,0.0,0.0,0.0,1
