Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
0.000,1,1,126,126.000,126,126,0.000,0,0.000,0.000,0.000,0.000,0.000
42355.044,341,341,508626,1491.572,54,1514,169.975,340,42355.044,124.574,0.000,35749.305,1948.097
396.863,6,6,798,133.000,54,516,171.339,5,396.863,79.373,6.275,337.727,129.290
109988.382,8,8,948,118.500,60,296,99.643,7,109988.382,15712.626,1.284,61102.858,25039.131
26128.148,3,3,174,58.000,54,66,5.657,2,26128.148,13064.074,0.028,26128.120,13064.046
0.000,1,1,171,171.000,171,171,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,239,239.000,239,239,0.000,0,0.000,0.000,0.000,0.000,0.000
109981.297,7,7,665,95.000,60,299,83.308,6,109981.297,18330.216,0.149,109973.388,40984.072
80021.521,16,16,1557,97.312,60,344,82.077,15,80021.521,5334.768,0.055,60389.444,15473.474
125347.756,182,182,242166,1330.582,54,1514,423.842,181,125347.756,692.529,0.001,124627.693,9237.644
67608.006,7,7,5532,790.286,54,1514,674.089,6,67608.006,11268.001,0.001,67594.444,25189.951
41245.502,139,139,9001,64.755,60,404,39.049,138,41245.502,298.880,0.018,32160.616,2764.664
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
48.434,34,34,2723,80.088,60,427,75.392,33,48.434,1.468,0.018,12.451,3.443
41483.699,9,9,888,98.667,60,402,107.261,8,41483.699,5185.462,0.280,35433.626,11569.640
67355.395,3,3,174,58.000,54,66,5.657,2,67355.395,33677.698,9955.409,57399.986,23722.288
145813.307,14,14,1433,102.357,60,384,103.186,13,145813.307,11216.408,0.575,103163.168,27011.700
110091.817,13,13,1870,143.846,60,747,188.026,12,110091.817,9174.318,0.144,109495.879,30248.137
79951.137,14,14,8573,612.357,54,1514,642.785,13,79951.137,6150.087,0.005,60389.565,16476.903
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,80,80.000,80,80,0.000,0,0.000,0.000,0.000,0.000,0.000
109926.764,11,11,1362,123.818,60,296,103.014,10,109926.764,10992.676,0.174,60035.284,19613.991
41501.551,41,41,2783,67.878,60,377,48.885,40,41501.551,1037.539,0.024,35427.600,5554.813
0.000,1,1,80,80.000,80,80,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,121,121.000,121,121,0.000,0,0.000,0.000,0.000,0.000,0.000
150235.854,33,33,2203,66.758,60,277,37.180,32,150235.854,4694.870,0.047,101686.132,17922.097
60140.846,4,4,519,129.750,54,345,124.371,3,60140.846,20046.949,1.231,60068.517,28299.537
109987.085,7,7,1988,284.000,54,853,359.890,6,109987.085,18331.181,0.379,61143.467,26159.180
26128.712,417,417,25301,60.674,60,335,13.453,416,26128.712,62.809,0.019,20084.195,1001.156
9277.470,39,39,3539,90.744,60,325,74.260,38,9277.470,244.144,0.034,5034.536,933.257
128090.098,14,14,8235,588.214,54,1514,658.422,13,128090.098,9853.084,0.001,128033.056,34115.621
0.000,1,1,242,242.000,242,242,0.000,0,0.000,0.000,0.000,0.000,0.000
3836.132,27,27,9167,339.519,60,720,317.560,26,3836.132,147.544,0.133,1509.059,281.590
42354.820,345,345,21600,62.609,60,366,27.673,344,42354.820,123.124,0.019,35475.066,1922.081
67355.453,4,4,246,61.500,60,66,2.598,3,67355.453,22451.818,2.046,57397.967,25042.531
62600.260,3,3,174,58.000,54,66,5.657,2,62600.260,31300.130,0.035,62600.225,31300.095
67612.587,9,9,868,96.444,60,382,100.976,8,67612.587,8451.573,0.102,67589.238,22351.937
80112.224,27,27,2167,80.259,60,294,58.714,26,80112.224,3081.239,0.040,61825.521,12239.088
43556.243,12,12,6639,553.250,54,1514,637.207,11,43556.243,3959.658,0.007,23554.461,8426.443
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
73468.930,6,6,521,86.833,60,215,57.360,5,73468.930,14693.786,0.168,73447.779,29376.997
