Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,157,157.000,157,157,0.000,0,0.000,0.000,0.000,0.000,0.000
77701.875,3,3,174,58.000,54,66,5.657,2,77701.875,38850.938,0.010,77701.865,38850.927
0.000,1,1,112,112.000,112,112,0.000,0,0.000,0.000,0.000,0.000,0.000
1188.497,6,6,516,86.000,60,210,55.498,5,1188.497,237.699,0.312,537.559,237.923
0.000,1,1,95,95.000,95,95,0.000,0,0.000,0.000,0.000,0.000,0.000
40.547,53,53,73059,1378.472,54,1514,420.108,52,40.547,0.780,0.001,10.880,2.447
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
157046.849,4,4,706,176.500,166,204,15.898,3,157046.849,52348.950,5345.736,137145.867,60078.236
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
338.490,4,4,970,242.500,54,796,319.601,3,338.490,112.830,49.278,144.832,44.938
2186.935,6,6,2340,390.000,60,1474,525.933,5,2186.935,437.387,0.169,1740.305,659.549
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
96.741,5,5,743,148.600,54,515,183.259,4,96.741,24.185,0.066,92.790,39.617
10.446,5,5,812,162.400,54,584,210.851,4,10.446,2.611,0.004,5.266,2.582
10.868,2,2,352,176.000,176,176,0.000,1,10.868,10.868,10.868,10.868,0.000
98.989,14,14,1316,94.000,60,265,63.564,13,98.989,7.615,0.026,86.726,22.864
11.519,5,5,455,91.000,60,209,59.046,4,11.519,2.880,0.170,5.811,2.708
15.059,5,5,1079,215.800,54,851,317.634,4,15.059,3.765,0.118,10.947,4.217
100.007,5,5,878,175.600,54,645,234.741,4,100.007,25.002,0.009,98.024,42.167
0.000,1,1,150,150.000,150,150,0.000,0,0.000,0.000,0.000,0.000,0.000
9014.329,3,3,198,66.000,66,66,0.000,2,9014.329,4507.164,2998.757,6015.572,1508.408
980.842,6,6,761,126.833,54,479,157.555,5,980.842,196.168,0.125,795.671,304.275
15.878,5,5,1081,216.200,54,853,318.434,4,15.878,3.970,0.060,11.023,4.183
92189.051,33,33,2201,66.697,60,275,36.837,32,92189.051,2880.908,0.026,68168.093,11897.680
124.929,5,5,2304,460.800,60,1514,566.901,4,124.929,31.232,0.142,123.773,53.429
430.523,19,19,24062,1266.421,54,1514,528.563,18,430.523,23.918,0.001,174.220,50.743
6004.964,8,8,1432,179.000,179,179,0.000,7,6004.964,857.852,0.252,2796.907,1224.014
0.000,1,1,115,115.000,115,115,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,150,150.000,150,150,0.000,0,0.000,0.000,0.000,0.000,0.000
97.642,5,5,743,148.600,54,515,183.259,4,97.642,24.410,0.037,93.108,39.673
2203.331,5,5,447,89.400,60,201,55.848,4,2203.331,550.833,0.426,1749.264,698.590
96.575,5,5,450,90.000,60,204,57.047,4,96.575,24.144,0.452,94.231,40.466
0.000,1,1,81,81.000,81,81,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
97.576,5,5,743,148.600,54,515,183.259,4,97.576,24.394,0.077,92.786,39.497
12349.065,6,6,2633,438.833,54,1514,515.770,5,12349.065,2469.813,0.007,7287.565,3094.165
0.000,1,1,164,164.000,164,164,0.000,0,0.000,0.000,0.000,0.000,0.000
11.104,5,5,455,91.000,60,209,59.046,4,11.104,2.776,0.162,5.656,2.601
0.000,1,1,220,220.000,220,220,0.000,0,0.000,0.000,0.000,0.000,0.000
109939.864,11,11,1362,123.818,60,296,103.014,10,109939.864,10993.986,0.195,60653.503,20085.878
8996.779,3,3,198,66.000,66,66,0.000,2,8996.779,4498.390,2996.757,6000.022,1501.632
9013.178,3,3,198,66.000,66,66,0.000,2,9013.178,4506.589,3012.967,6000.211,1493.622
1044.143,5,5,793,158.600,54,565,203.253,4,1044.143,261.036,0.477,545.763,206.689
0.000,1,1,66,66.000,66,66,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,171,171.000,171,171,0.000,0,0.000,0.000,0.000,0.000,0.000
98.284,7,7,2409,344.143,60,1484,503.578,6,98.284,16.381,0.196,94.483,34.936
80407.372,25,25,25550,1022.000,54,1514,649.197,24,80407.372,3350.307,0.001,61351.763,12660.351
0.000,1,1,125,125.000,125,125,0.000,0,0.000,0.000,0.000,0.000,0.000
79943.332,14,14,8573,612.357,54,1514,642.785,13,79943.332,6149.487,0.003,61222.524,16631.391
12348.662,6,6,681,113.500,60,375,116.967,5,12348.662,2469.732,8.635,7278.859,3089.944
69959.035,6,6,521,86.833,60,215,57.360,5,69959.035,13991.807,0.073,69944.301,27976.247
9022.796,3,3,198,66.000,66,66,0.000,2,9022.796,4511.398,3007.309,6015.487,1504.089
0.000,1,1,79,79.000,79,79,0.000,0,0.000,0.000,0.000,0.000,0.000
109984.237,15,15,18084,1205.600,54,1514,559.744,14,109984.237,7856.017,0.001,109898.433,28301.477
0.000,1,1,166,166.000,166,166,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,176,176.000,176,176,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,138,138.000,138,138,0.000,0,0.000,0.000,0.000,0.000,0.000
96.199,5,5,743,148.600,54,515,183.259,4,96.199,24.050,0.120,92.220,39.365
0.000,1,1,148,148.000,148,148,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,84,84.000,84,84,0.000,0,0.000,0.000,0.000,0.000,0.000
98.077,5,5,878,175.600,54,645,234.741,4,98.077,24.519,0.008,96.413,41.513
330.384,4,4,970,242.500,54,796,319.601,3,330.384,110.128,30.310,156.053,56.653
2147.486,5,5,447,89.400,60,201,55.848,4,2147.486,536.871,0.360,1773.332,718.537
0.000,1,1,95,95.000,95,95,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,150,150.000,150,150,0.000,0,0.000,0.000,0.000,0.000,0.000
304.958,17,17,1989,117.000,60,691,153.099,16,304.958,19.060,0.024,235.345,57.351
0.000,1,1,92,92.000,92,92,0.000,0,0.000,0.000,0.000,0.000,0.000
9029.653,3,3,198,66.000,66,66,0.000,2,9029.653,4514.827,3013.875,6015.778,1500.951
9007.471,3,3,198,66.000,66,66,0.000,2,9007.471,4503.735,3007.482,5999.989,1496.254
0.000,1,1,171,171.000,171,171,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,109,109.000,109,109,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,166,166.000,166,166,0.000,0,0.000,0.000,0.000,0.000,0.000
10.755,5,5,812,162.400,54,584,210.851,4,10.755,2.689,0.074,5.264,2.544
9029.185,3,3,198,66.000,66,66,0.000,2,9029.185,4514.592,3013.713,6015.472,1500.880
0.000,1,1,138,138.000,138,138,0.000,0,0.000,0.000,0.000,0.000,0.000
482.276,5,5,445,89.000,60,199,55.049,4,482.276,120.569,0.477,193.997,72.289
12314.793,6,6,683,113.833,60,377,117.712,5,12314.793,2462.959,0.136,7278.396,3092.478
96.316,6,6,886,147.667,54,604,204.126,5,96.316,19.263,0.052,88.500,34.664
0.000,1,1,90,90.000,90,90,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,138,138.000,138,138,0.000,0,0.000,0.000,0.000,0.000,0.000
474.351,5,5,445,89.000,60,199,55.049,4,474.351,118.588,0.225,174.327,69.188
61688.444,16,16,1544,96.500,92,110,7.794,15,61688.444,4112.563,737.520,50542.224,12409.618
0.000,1,1,85,85.000,85,85,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,166,166.000,166,166,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,283,283.000,283,283,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,155,155.000,155,155,0.000,0,0.000,0.000,0.000,0.000,0.000
989.599,5,5,793,158.600,54,565,203.253,4,989.599,247.400,0.162,551.710,203.970
15.941,5,5,451,90.200,60,205,57.447,4,15.941,3.985,0.236,13.127,5.331
0.000,1,1,312,312.000,312,312,0.000,0,0.000,0.000,0.000,0.000,0.000
