Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
0.000,1,1,160,160.000,160,160,0.000,0,0.000,0.000,0.000,0.000,0.000
67012.594,5,5,1854,370.800,54,1514,573.145,4,67012.594,16753.148,0.022,66962.535,28988.409
0.000,1,1,220,220.000,220,220,0.000,0,0.000,0.000,0.000,0.000,0.000
98.131,5,5,621,124.200,60,375,125.422,4,98.131,24.533,0.129,54.733,24.669
2679.436,177,177,262769,1484.571,54,1514,188.897,176,2679.436,15.224,0.001,2388.709,179.604
103.205,5,5,568,113.600,60,322,104.226,4,103.205,25.801,0.340,58.752,25.980
100.071,4,4,623,155.750,54,449,169.379,3,100.071,33.357,0.271,57.236,24.150
9167.284,3,3,194,64.667,62,66,1.886,2,9167.284,4583.642,3067.675,6099.609,1515.967
0.000,1,1,72,72.000,72,72,0.000,0,0.000,0.000,0.000,0.000,0.000
266468.478,16,16,1480,92.500,90,94,1.936,15,266468.478,17764.565,2999.779,51840.009,16851.910
108940.250,3,3,186,62.000,60,66,2.828,2,108940.250,54470.125,2.269,108937.981,54467.856
9101.338,3,3,194,64.667,62,66,1.886,2,9101.338,4550.669,3013.286,6088.052,1537.383
25676.815,10,10,992,99.200,92,110,8.818,9,25676.815,2852.979,838.579,18910.783,5677.295
100.244,5,5,620,124.000,60,374,125.022,4,100.244,25.061,0.132,56.922,25.279
97.954,3,3,667,222.333,54,547,229.626,2,97.954,48.977,42.966,54.988,6.011
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
60208.362,5,5,655,131.000,60,409,139.019,4,60208.362,15052.091,0.885,60197.209,26064.546
60208.073,5,5,655,131.000,60,409,139.019,4,60208.073,15052.018,0.129,60197.952,26065.017
0.000,1,1,171,171.000,171,171,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
67088.354,27,27,29775,1102.778,54,1514,623.179,26,67088.354,2580.321,0.001,66739.563,12831.879
120084.915,6,6,595,99.167,60,289,84.924,5,120084.915,24016.983,0.364,61915.954,29378.734
9198.345,3,3,194,64.667,62,66,1.886,2,9198.345,4599.172,3098.708,6099.637,1500.465
3068.085,2,2,132,66.000,66,66,0.000,1,3068.085,3068.085,3068.085,3068.085,0.000
6321.051,6,6,1050,175.000,175,175,0.000,5,6321.051,1264.210,122.213,2979.694,1396.826
108940.085,3,3,174,58.000,54,66,5.657,2,108940.085,54470.043,0.025,108940.060,54470.018
9.096,4,4,2064,516.000,54,1514,595.681,3,9.096,3.032,0.047,8.575,3.923
9199.704,3,3,194,64.667,62,66,1.886,2,9199.704,4599.852,3097.522,6102.182,1502.330
11363.340,3,3,862,287.333,54,742,321.535,2,11363.340,5681.670,47.706,11315.634,5633.964
381.285,17,17,1780,104.706,60,475,106.231,16,381.285,23.830,0.161,130.975,38.208
0.000,1,1,125,125.000,125,125,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,125,125.000,125,125,0.000,0,0.000,0.000,0.000,0.000,0.000
9194.090,3,3,194,64.667,62,66,1.886,2,9194.090,4597.045,3094.508,6099.582,1502.537
104.853,4,4,691,172.750,54,517,198.813,3,104.853,34.951,0.649,61.466,25.432
0.000,1,1,220,220.000,220,220,0.000,0,0.000,0.000,0.000,0.000,0.000
52.433,4,4,581,145.250,60,395,144.214,3,52.433,17.478,0.216,50.119,23.094
11363.466,5,5,558,111.600,60,312,100.227,4,11363.466,2840.867,0.167,11260.530,4861.143
95.798,5,5,503,100.600,60,257,78.235,4,95.798,23.950,0.138,53.008,24.078
0.000,1,1,82,82.000,82,82,0.000,0,0.000,0.000,0.000,0.000,0.000
9.920,4,4,2062,515.500,54,1514,595.754,3,9.920,3.307,0.044,9.518,4.394
110.812,5,5,619,123.800,60,373,124.622,4,110.812,27.703,0.212,61.456,25.708
0.000,1,1,75,75.000,75,75,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,72,72.000,72,72,0.000,0,0.000,0.000,0.000,0.000,0.000
114291.526,12,12,7827,652.250,54,1514,680.643,11,114291.526,10390.139,0.001,114109.411,32798.927
61997.050,5,5,2128,425.600,54,1514,563.969,4,61997.050,15499.263,0.005,61916.019,26798.747
9198.065,3,3,194,64.667,62,66,1.886,2,9198.065,4599.033,3103.792,6094.273,1495.241
9198.819,3,3,194,64.667,62,66,1.886,2,9198.819,4599.409,3099.221,6099.598,1500.188
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
10.419,2,2,120,60.000,60,60,0.000,1,10.419,10.419,10.419,10.419,0.000
0.000,1,1,72,72.000,72,72,0.000,0,0.000,0.000,0.000,0.000,0.000
